English|Bangali|Arabic|Chinese|French|German|Hindi|Italian|Japanese|Spanish
betray|গুপ্তরহস্য প্রকাশ করা|أفشى سرا|背叛|trahir|verraten|प्रकट करना|tradire|裏切る|traicionar
blatant|স্থূল|صارخ|明显的|flagrant|eklatant|ज़बरदस्त|sfacciato|ぼんやりした|evidente
bolster|তাকিয়া|دعم|加强|traversin|Nackenrolle|सिलेंडर|sostenere|強化する|reforzar
brazen|নির্লজ্জ|وقح|厚颜无耻|effronté|unverschämt|तांबे का|sfacciato|厚かましい|descarado
bucolic|মেঠো|رعوي|牧歌|bucolique|bukolisch|ग्राम्य|bucolico|狼男|bucólico
bumbling|আনাড়ি|التلعثم|装模作样|bafouillant|stolpern|bumbling|maldestro|うんざりする|torpe
burgeon|মুকুল|ازدهر|发芽|bourgeon|knospen|burgeon|germogliare|芽生え|brote
calumny|অপবাদ|افتراء|诽谤|calomnie|Verleumdung|चुगली|calunnia|戒め|calumnia
capricious|খামখেয়ালী|متقلب|任性|capricieux|launisch|मनमौजी|capriccioso|気まぐれな|caprichoso
castigate|শাস্তি দেত্তয়া|وبخ|鞭挞|fustiger|geißeln|पीटना|castigare|キャスト|castigar
censure|অনুযোগ|لوم|谴责|censurer|Tadel|निंदा|censura|非難|censura
chastise|তাড়ন করা|عاقب|惩罚|punir|züchtigen|दंड देना|castigare|欲望|castigar
chortle|খলখল শব্দ|ضحكة|得意的高笑|gloussement|glucksen|उमंग|riso represso|チョットル|risa alegre
circumscribe|বেষ্টন করা|وضع حدا|外接|limiter|umschreiben|प्रतिबंध लगाना|circoscrivere|制限する|circunscribir
circumvent|ফাঁদে ফেলা|تحايل|规避|circonvenir|umgehen|दरकिनार|eludere|回避する|evitar
commensurate|তুল্য|متناسب|相称|commensurable|angemessen|अनुरूप|commisurato|相応しい|conmensurar
concede|স্বীকার করা|تتنازل|承认|concéder|zugeben|स्वीकार करना|concedere|譲歩する|conceder
concede|স্বীকার করা|تتنازل|承认|concéder|zugeben|स्वीकार करना|concedere|譲歩する|conceder
concede|স্বীকার করা|تتنازل|承认|concéder|zugeben|स्वीकार करना|concedere|譲歩する|conceder
confound|হতবুদ্ধি করা|أربك|混淆|confondre|verwechseln|उलझाना|confondere|混乱する|confundir
confound|হতবুদ্ধি করা|أربك|混淆|confondre|verwechseln|उलझाना|confondere|混乱する|confundir
conspicuous|সুস্পষ্ট|واضح|显着|visible|auffällig|विशिष्ट|cospicuo|目立つ|conspicuo
constituent|উপাদান|المقوم، مكون، جزء من|组分|constituant|Bestandteil|घटक|costituente|成分|Constitucion
constituent|উপাদান|المقوم، مكون، جزء من|组分|constituant|Bestandteil|घटक|costituente|成分|Constitucion
construe|ভাষান্তরিত করা|حلل|诠释|interpréter|konstruieren|टीका करना|interpretare|解釈する|interpretar
contingent|সাপেক্ষ|مشروط|队伍|contingent|Kontingent|आकस्मिक|contingente|偶発的|contingente
contingent|সাপেক্ষ|مشروط|队伍|contingent|Kontingent|आकस्मिक|contingente|偶発的|contingente
contrition|অনুতাপ|ندم|悔悟|contrition|Reue|पछतावा|contrizione|反論|arrepentimiento
contrive|কার্যসাধন করা|تدبر|图谋|se débrouiller|ersinnen|ईजाद करना|escogitare|考案する|idear
copious|প্রচুর|غزير|丰富|copieux|reichlich|प्रचुर|copioso|豊富な|copioso
craven|নীচ|شخص جبان|懦夫|lâche|feige|डरपोक|codardo|クレイヴン|cobarde
cryptic|রহস্যপূর্ণ|خفي|神秘|cryptique|kryptisch|गुप्त|misterioso|謎めいた|críptico
culminate|সর্বোচ্চ সীমা পৌঁছান|تكبد|高潮|culminer|gipfeln|समापन|culminare|頂点に達する|culminar
culpability|নিন্দনীয়তা|الملومية|有罪|culpabilité|Schuld|दोषी|colpevolezza|犯罪性|culpabilidad
decorous|শোভন|لائق|端庄|convenable|anständig|शिष्ट|decoroso|飾る|decoroso
decorum|শালীনতা|لياقة|礼仪|décorum|Anstand|शिष्टाचार|decoro|礼儀正しい|decoro
deferential|স্বীকার করে এমন|مراع|恭敬的|respectueux|ehrerbietig|सविनय|deferente|敬称|deferente
deleterious|ক্ষতিকর|مؤذ|有害|délétère|schädlich|हानिकारक|deleterio|有害な|perjudicial
delineate|বর্ণা করা|تحدد|勾画|tracer|skizzieren|चित्रित करना|delineare|輪郭を描く|delinear
demur|গম্ভীর করা|تردد|提出异议|hésitation|Einwand|आपत्ति|obiettare|踏み出す|objetar
denigrate|কলঙ্কিত করা|شوه سمعة|诋毁|dénigrer|verunglimpfen|बदनाम करना|denigrare|脱窒する|denigrar
denote|বোঝান|دل|表示|dénoter|bezeichnen|सूचित करना|denota|意味する|denotar
derivative|অমৌলিক|المشتق|衍生物|dérivé|Derivat|यौगिक|derivato|デリバティブ|derivado
derive|আহরণ করা|استخلاص|派生|dériver|ableiten|निकाले जाते हैं|derivare|派生する|derivar
derive|আহরণ করা|استخلاص|派生|dériver|ableiten|निकाले जाते हैं|derivare|派生する|derivar
dictatorial|স্বৈর|دكتاتوري|独裁的|dictatorial|diktatorisch|तानाशाह का|dittatoriale|独裁者|dictatorial
didactic|নীতিমূলক|تعليمي|教导的|didactique|didaktisch|शिक्षाप्रद|didattico|教訓的な|didáctico
diffident|আত্মবিশ্বাসহীন|خجول|心虚|timide|schüchtern|संकोची|timido|思いやりのある|tímido
dilatory|দীর্ঘসূত্রী|متلكئ|拖拉|dilatoire|verzögernd|धीमा|dilatorio|拡張する|dilatorio
dilettante|অপটু কর্মী|الهاوي|外行|dilettante|Dilettant|अनुरागी|dilettante|ジレッタント|diletante
disaffected|বিরক্ত|ساخط|抱不平的|mécontent|unzufrieden|असंतुष्ट|ostile|不満|desafecto
discrete|বিযুক্ত|منفصله|离散的|discret|diskret|अलग|discreto|離散|discreto
disinterested|নির্লিপ্ত|نزيه|无私|désintéressé|desinteressiert|उदासीन|disinteressato|無関心な|desinteresado
dispassionate|নিষ্কাম|هادئ|冷静|impartial|leidenschaftslos|आवेगहीन|spassionato|思いやりのある|desapasionado
disseminate|প্রচার করা|ينشر|传播|disséminer|verbreiten|प्रसारित करना|diffondere|広める|diseminar
dogmatic|মতবাদ-সংক্রান্ত|متزمت|武断的|dogmatique|dogmatisch|कट्टर|dogmatico|ドグマティク|dogmático
duress|কয়েদ|إكراه|胁迫|contrainte|Zwang|अवरोध|costrizione|強迫|coacción
eclectic|সারগ্রাহী|انتقائي|不拘一格|éclectique|eklektisch|उदार|eclettico|折衷的な|ecléctico
economical|লাভজনক|اقتصادي|经济|économique|wirtschaftlich|किफ़ायती|economico|経済的|económico
edifying|শিক্ষাপ্রদ|بنيان|启发性的|édifiant|erbaulich|edifying|edificante|矯正する|edificante
efficacious|ফলপ্রদ|فعال|有效的|efficace|wirksam|प्रभावोत्पादक|efficace|効果的な|eficaz
egregious|গুরুতর|فاضح|过分的|énorme|ungeheuerlich|प्रबल|egregio|大変な|enorme
elicit|প্রকাশ করা|يستنبط|引出|obtenir|entlocken|प्रकाश में लाना|suscitare|引き出す|obtener
elucidate|বিশদ করা|وضح|阐发|élucider|aufzuklären|स्पष्ट करना|chiarire|解明する|dilucidar
eminent|বিশিষ্ট|بارز|杰出|éminent|herausragend|प्रख्यात|eminente|著名な|eminente
enervate|শক্তিহীন করা|واهن|微弱|amollir|entnerven|कमज़ोर|snervare|衰弱させる|enervar
engender|প্রসব করা|تولد|产生|engendrer|erzeugen|पैदा करना|generare|醸し出す|engendrar
entrenched|প্রোথিত|ترسخ|根深蒂固|retranché|verschanzt|आरोपित हुआ|trincerato|定着した|atrincherado
ephemeral|ক্ষণজীবী|سريع الزوال|短暂的|éphémère|flüchtig|अल्पकालिक|effimero|一時的な|efímero
equivocal|সন্দেহজনক|مبهم|暧昧|équivoque|zweideutig|गोलमोल|equivoco|不確かな|equívoco
eradicate|সমূলে উত্পাটন করা|القضاء|根除|éradiquer|auszurotten|उन्मूलन|sradicare|根絶する|erradicar
erudite|জ্ঞানী|واسع المعرفة|博学|érudit|gelehrt|वैज्ञानिक|erudito|エラディーテ|erudito
eschew|পরিহার করা|تجنب|避|éviter|vermeiden|त्याग करना|astenersi da|避ける|evitar
esoteric|গূঢ়|مقصور على فئة معينة|深奥|ésotérique|esoterisch|गुप्त|esoterico|難解な|esotérico
espouse|পক্ষাবলম্বন করা|تزوج|拥护|adopter|zu unterstützen|सहायता देना|sposare|諜報員|adoptar
exacerbate|বর্ধিত করা|تفاقم|加剧|exacerber|verschärfen|ख़राब करना|esacerbare|悪化させる|exacerbar
exacting|রূক্ষ|مرهق|严格|exigeant|anspruchsvoll|मांग करनेवाला|esigente|厳しい|exigente
exalt|উল্লসিত করা|كثف|捧|exalter|erhöhen|प्रशंसा करना|esaltare|高く評価する|exaltar
exonerate|ক্ষালন করা|أبرئ|开脱|disculper|entlasten|हक़ बहाल करना|scagionare|無罪|exonerar
expound|উদ্ভাসিত করা|شرح|阐述|exposer|erläutern|व्याख्या करना|esporre|解明する|exponer
extant|অদ্যাপি বর্তমান|موجود|现存|existant|vorhanden|वर्तमान|esistente|現存|existente
fallacious|প্রতারণাপূর্ণ|وهمي|错误的|fallacieux|trügerisch|ग़लत|fallace|間違った|erróneo
fastidious|খুঁতখুঁতে|شديد الحساسية|挑剔|délicat|anspruchsvoll|दुराराध्य|fastidioso|厳しい|fastidioso
flux|নিরন্তর পরিবর্তন|تدفق|通量|flux|Fluss|प्रवाह|flusso|フラックス|flujo
foment|লালন করা|إثارة|罨|fomenter|schüren|भड़काना|fomentare|瞬間|fomentar
forlorn|অবহেলিত|بائس|绝望|désespéré|verlassen|अनाथ|abbandonato|忘れ去られた|abandonado
forthcoming|আসন্ন|قادم، صريح، يظهر|即将到来|à venir|bevorstehend|आगामी|prossimo|今後の|próximo
forthcoming|আসন্ন|قادم، صريح، يظهر|即将到来|à venir|bevorstehend|आगामी|prossimo|今後の|próximo
fortuitous|আকস্মিক|محظوظ|偶然|fortuit|zufällig|आकस्मिक|fortuito|偶然|fortuito
frivolous|অসার|تافه|轻浮|frivole|frivol|तुच्छ|frivolo|軽薄|frívolo
frugal|মিতব্যয়ী|مقتصد|节俭|frugal|sparsam|मितव्ययी|frugale|倹約|frugal
frustrate|হতাশ|أحبط|阻挠|frustrer|vereiteln|हराना|frustrare|挫折|frustrar
furtive|অলক্ষিত|ماكر|鬼鬼祟祟|furtif|verstohlen|चुराया हुआ|furtivo|虚偽|furtivo
gainsay|প্রতিবাদ করা|نكر|否定|contredire|widersprechen|विरोध करना|contraddire|ゲンセイ|contradecir
gall|পিত্ত|مرارة|瘿|fiel|Galle|पित्त|fiele|胆汁|hiel
gall|পিত্ত|مرارة|瘿|fiel|Galle|पित्त|fiele|胆汁|hiel
galvanize|বিদ্যুত্প্রবাহ প্রয়োগ করা|تصادفي|镀锌|galvaniser|galvanisieren|प्रेरित करना|galvanizzare|亜鉛メッキする|galvanizar
garrulous|ফচকে|ثرثار|贫嘴|bavard|geschwätzig|बातूनी|garrulo|騒々しい|gárrulo
gauche|আনাড়ি|أخرق|笨拙|gauche|gauche|भद्दा|maldestro|ゴーシュ|desmañado
germane|সঙ্গত|وثيق الصلة|有密切关系|germane|germanisch|सार्थक|germano|ゲルマン|relacionado
glut|গোগ্রাসে গেলা|تخمة|充斥|surabondance|Glut|भरमार|eccesso|過剰|exceso
glut|গোগ্রাসে গেলা|تخمة|充斥|surabondance|Glut|भरमार|eccesso|過剰|exceso
gossamer|লূতাতন্তু|لعاب الشمس|游丝|gaze|hauchzart|पतला|sottilissimo|ゴシマー|telaraña
gregarious|যূথচর|قطيعي|群居|grégaire|gesellig|झुण्ड में रहनेवाला|gregario|凶暴な|gregario
guileless|সরল|ساذج|朴实|naïf|arglos|निष्कपट|ingenuo|あどけない|inocente
hackneyed|বস্তাপচা|مبتذل|陈腐|rebattu|abgedroschen|साधारण|trito|ハックニー|trillado
haphazard|এলোমেলো|بدون تنظيم|偶然|au hasard|planlos|बेतरतीब|a casaccio|行き当たりばったり|al azar
harangue|বাগাড়ম্বরপূর্ণ বক্তৃতা|خطبة|长篇大论|harangue|harangue|भाषण|arringa|説教|arenga
harangue|বাগাড়ম্বরপূর্ণ বক্তৃতা|خطبة|长篇大论|harangue|harangue|भाषण|arringa|説教|arenga
harried|নিপীড়িত|مغزو|忙碌的|harry|bedrängt|परेशान|tormentato|ハリーした|acosado
haughty|উদ্ধত|متجبر|傲慢|hautain|hochmütig|घमंडी|altezzoso|傲慢|arrogante
hegemony|কর্তৃত্ব|سيطرة|霸权|hégémonie|Hegemonie|नायकत्व|egemonia|覇権|hegemonía
heretic|পাষণ্ড|كافر|异教徒|hérétique|Ketzer|विधर्मी|eretico|異端者|hereje
iconoclast|প্রতিমাচূর্ণকারী|عابد التماثيل|反传统|iconoclaste|Bilderstürmer|मूर्ति|iconoclasta|アイコンクロースト|iconoclasta
iconoclastic|কালাপাহাড়ী|متمرد|打破旧习|iconoclaste|ikonoklastisch|iconoclastic|iconoclastico|無秩序な|iconoclasta
idiosyncrasy|মানসিক গঠন|خصوصية|特质|particularité|Idiosynkrasie|लत|idiosincrasia|特質|idiosincrasia
ignoble|নীচ|خسيس|卑鄙|ignoble|unwürdig|नीच|ignobile|イモビル|innoble
ignominious|কলঙ্কজনক|شائن|可耻|ignominieux|schmählich|निद्य|ignominioso|恥知らずの|ignominioso
immutable|অপরিবর্তনীয়|غير قابل للتغيير|一成不变|immuable|unveränderlich|अडिग|immutabile|不変|inmutable
impartial|নিরপেক্ষ|نزيه|公正|impartial|unparteiisch|निष्पक्ष|imparziale|公平|imparcial
impertinent|অপ্রাসঙ্গিক|وقح|鲁莽|impertinent|unverschämt|अभेद्य|impertinente|無意味な|impertinente
implacable|নির্দয়|عنيد|无情|implacable|unerbittlich|संगदिल|implacabile|無敵な|implacable
implausible|অকল্পনীয়|غير قابل للتصديق|难以置信|peu plausible|unglaubwürdig|अकल्पनीय|non plausibile|信じ難い|increíble
imprudent|হঠকারী|طائش|鲁莽的|imprudent|unklug|ढीठ|imprudente|慎重な|imprudente
impudent|লজ্জাহীন|صفيق|厚颜无耻|impudent|unverschämt|दिलेर|impudente|厚かましい|impudente
incisive|ব্যঙ্গকারী|قاطع|尖锐|incisif|prägnant|काटा हुआ|incisivo|鋭い|incisivo
incongruous|বেমানান|غير لائق|牛头不对马嘴|incongru|unpassend|बेमेल|incongruo|不自然な|incongruente
incorrigible|সংশোধনাতীত|عنيد|不可救药|incorrigible|unverbesserlich|असंशोधनीय|incorreggibile|厄介な|incorregible
indecorous|রূচিবিরূদ্ধ|غير محتشم|无礼|inconvenant|unschicklich|गंदा|indecoroso|卑劣な|indecoroso
indifference|অযত্ন|لا مبالاة|漠不关心|indifférence|Gleichgültigkeit|उदासीनता|indifferenza|無関心|indiferencia
inexorable|অনিবার্য|عنيد|残酷|inexorable|unerbittlich|निष्ठुर|inesorabile|冷酷な|inexorable
ingenuous|মনখোলা|ساذج|直率的|ingénu|aufrichtig|सरल|ingenuo|独創的な|ingenuo
ingratiate|অনুগ্রহ ভাজন করান|توصل ببراعة|迎合|ingratiser|angratiate|ingratiate|ingraziare|採取する|captar la simpatía de
inimical|ক্ষতিকর|معاد|抵触的|hostile|feindlich|विरोधी|ostile|不自然な|hostil
innocuous|নির্দোষ|غير مؤذية|无害的|inoffensif|harmlos|अहानिकर|innocuo|無害な|inocuo
inscrutable|অবর্ণনীয়|غامض|高深莫测|impénétrable|unergründlich|गूढ़|inscrutabile|不可解な|inescrutable
insidious|প্রতারণাপূর্ণ|أخبث|阴险|insidieux|heimtückisch|कपटी|insidioso|陰気な|insidioso
insolent|উদ্ধত|وقح|粗野|insolent|frech|ढीठ|insolente|寛大な|insolente
intimate|অন্তরঙ্গ|حميم|亲密|intime|intim|अन्तरंग|intimo|親密な|íntimo
intransigent|একরোখা|عنيد|妥协|intransigeant|unnachgiebig|सैद्धांतिक|intransigente|寛容な|intransigente
intrepid|নিরাতঙ্ক|باسل|强悍|intrépide|unerschrocken|निडर|intrepido|勇敢な|intrépido
inveterate|পাকা|عريق|根深蒂固|invétéré|eingefleischt|कट्टर|incallito|誘拐する|empedernido
involved|জড়িত|متورط|参与|impliqué|beteiligt|लिप्त|coinvolti|関係する|involucrado
irrevocable|অনড়|غير قابل للإلغاء|不可撤销|irrévocable|unwiderruflich|स्थिर|irrevocabile|取消不能|irrevocable
itinerant|ভ্রমণকারী|متجول|江湖|itinérant|Wander-|चलनेवाला|itinerante|巡回|itinerante
jingoism|সংগ্রামপ্রি় দেশপ্রেম|الشوفينية الغلو في الوطنية|沙文主义|chauvinisme|Chauvinismus|अंधराष्ट्रीयता|sciovinismo|ジンゴリズム|jingoísmo
jovial|প্রফুল্ল|مرح|快活|jovial|jovial|उल्लासपूर्ण|gioviale|思いやりのある|jovial
jubilant|উল্লসিত|متهلل|喜庆|radieux|jubelnd|उल्लसित|giubilante|喜ばしい|jubiloso
juxtapose|পাশাপাশি স্থাপন করা|وضع شيئا بجانب الآخر|并列|juxtaposer|gegenüberstellen|मिलाना|giustapporre|並置する|yuxtaponer
laconic|অল্পকথায় অর্থপূর্ণ|مقتضب|简洁|laconique|lakonisch|संक्षिप्त|laconico|いたずらな|lacónico
lambast|lambast|توجيه اللوم|揍|lambast|Lammfleisch|चाबुक से मारना|lambast|扱き下ろす|lambast
languid|অবসন্ন|ضعيف|酸软|languissant|matt|निस्तेज|languido|ぐずぐず|lánguido
largess|বদান্যতা|السخاء|赠品|largesse|Großzügigkeit|उदारता|elargizione|伯爵|generosidad
laudable|প্রশংসনীয়|جدير بالثناء|值得称赞|louable|lobenswert|प्रशंसनीय|lodevole|賞賛できる|loable
lionize|lionize|كرم|lionize|célébrer|feiern|चापलूसी करना|trattare come una celebrità|持て囃す|agasajar
magnanimous|মহানুভব|شهم|坦荡|magnanime|großmütig|उदार|magnanimo|勇敢な|magnánimo
maintain|বজায় রাখা|الحفاظ|保持|maintenir|pflegen|बनाए रखने के|mantenere|維持する|mantener
maladroit|জবুথবু|أخرق|笨拙|maladroit|ungeschickt|ठस|maldestro|マラドトロイト|desmañado
maverick|বাউণ্ডুলে|مستقل|特立独行|Maverick|Einzelgänger|आवारा|maverick|異端者|disidente
mawkish|ঘৃণাজনক|مثير للغثيان|感伤的|fade|Mawkisch|कुत्सित|svenevole|モウキッシュ|empalagoso
mendacity|মিথ্যা|كذب|谎言|fausseté|Verlogenheit|भिक्षावृति|mendacia|支配|mendacidad
mercurial|তত্পর|زئبقي|善变|mercuriel|mercurial|अस्थिर|mutevole|水銀の|mercurial
meticulous|অতিসতর্ক|موسوس|细致|méticuleux|akribisch|सूक्ष्म|meticoloso|細心の|meticuloso
misconstrue|ভুল অর্থ করা|أساء الفهم أو التفسير|误解|mal interpréter|missverstehen|गलत समझें|interpretare male|誤解する|interpretar mal
mitigate|প্রশমিত করা|تخفيف|减轻|atténuer|mildern|कम करना|mitigare|緩和する|mitigar
mitigate|প্রশমিত করা|تخفيف|减轻|atténuer|mildern|कम करना|mitigare|緩和する|mitigar
mollify|কোমল করা|هدأ|缓和|amadouer|besänftigen|शमन करना|addolcire|緩和する|apaciguar
mundane|জাগতিক|دنيوي|平凡|banal|banal|सांसारिक|mondano|世俗|mundano
mundane|জাগতিক|دنيوي|平凡|banal|banal|सांसारिक|mondano|世俗|mundano
munificent|উপুড়হস্ত|سخي|优厚|munificent|Großzügig|उदार|munifico|気前のよい|munificente
myopic|ক্ষীণদৃষ্টি|أحسر|近视的|myope|kurzsichtig|कमबीन|miope|近視の|miope
myriad|অগণ্য|وافر|无数的|myriade|Myriade|असंख्य|miriade|無数|miríada
negligible|তুচ্ছ|ضئيلة|微不足道|négligeable|unerheblich|नगण्य|trascurabile|無視できる|despreciable
nonplussed|কিংকর্তব্যবিমূঢ়|أفزعتها|不知所措|non effrayé|verblüfft|भौचक|nonplussed|非連結|desconcertado
nuance|সামান্য পার্থক্য|فارق بسيط|细微差别|nuancer|Nuance|अति सूक्ष्म अंतर|sfumatura|ニュアンス|matiz
obscure|অস্পষ্ট|غامض|朦胧|obscur|obskur|अस्पष्ट|oscuro|あいまいな|oscuro
obscure|অস্পষ্ট|غامض|朦胧|obscur|obskur|अस्पष्ट|oscuro|あいまいな|oscuro
obsequious|তোয়াজ|دنيء|低三下四|obséquieux|unterwürfig|चापलूस|ossequioso|従順な|servil
opaque|অস্বচ্ছ|مبهمة|不透明|opaque|undurchsichtig|न झिल्लड़|opaco|不透明|opaco
opulence|সমৃদ্ধি|ترف|丰裕|opulence|Opulenz|अधिकता|opulenza|華やかさ|opulencia
ostentatious|জাঁক করে এমন|متباه|摆阔|ostentatoire|ostentativ|दिखावटी|ostentato|誇張した|ostentoso
ostracize|বহিষ্কৃত করা|نفى من غير محاكمة|放逐|ostraciser|ächten|समाज से बाहर निकालना|dare l&#39;ostracismo|追放する|condenar al ostracismo
panache|panache|البناش حزمة زينية|鹭|panache|Elan|कलँगी|pennacchio|腹部|estilo
parochial|সংকীর্ণ|محدود التفكير|教区|paroissial|Pfarrer|संकीर्ण|parrocchiale|偏狭|parroquial
parsimonious|ব্যয়কুণ্ঠ|شديد البخل|俭省的|parcimonieux|sparsam|किफ़ायती|parsimonioso|間違った|parsimonioso
pedantic|গোঁড়া|متحذلق|迂|pédant|pedantisch|पंडिताऊ|pedante|ペタニック|pedante
pedestrian|পথচারী|مشاة|行人|piéton|Fußgänger|पैदल यात्री|pedone|歩行者|peatonal
pejorative|মর্যাদাহানিকর|تحقير|贬义|péjoratif|abwertend|अपमानजनक|peggiorativo|敬虔な|peyorativo
perfidy|বিশ্বাসভঙ্গ|خيانة|背信弃义|perfidie|Perfidie|नमकहरामी|perfidia|悲惨な|perfidia
pernicious|ক্ষতিকর|خبيث|有害|pernicieux|verderblich|तेज़|pernicioso|悪性|pernicioso
petulant|প্রগল্ভ|مشاكس|易怒的|irritable|gereizt|ढीठ|petulante|腐った|malhumorado
placate|শান্ত করা|استرضاء|安抚|apaiser|besänftigen|तसल्ली देना|placare|平板|aplacar
platitude|মামুলি মন্তব্য|ابتذال|老生常谈|platitude|Platitüde|साधारण बात|banalità|平気|tópico
poignant|কটু|مثير للمشاعر|凄美|poignant|ergreifend|मार्मिक|commovente|鋭い|conmovedor
polemic|বিতর্কমূলক|جدلي|论战|polémique|Polemik|विवादात्मक|polemica|論争|polémica
posit|যথাস্থানে রাখা|طرح|断定|postuler|setzen|किसी स्थिति में रखना|posit|正当な|postular
pragmatic|রাষ্ট্রীয়|واقعي|务实|pragmatique|pragmatisch|व्यावहारिक|pragmatico|実利的|pragmático
precipitous|precipitous|متهور|陡峭|abrupt|steil|तेज़|precipitoso|急な|precipitado
